Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2015,Incremento20142015,Floresta2015,Nuvem2015,NaoObservado2015,NaoFloresta2015,Hidrografia2015,Soma 
 346,-5.83817,-47.09465,S 5 50 17.41,O 47 5 40.74,Montes Altos,2107001,MA,1499,180.8,0.3,60.2,0.0,0.0,1258.0,0.0,100
 347,-9.98708,-49.11202,S 9 59 13.49,O 49 6 43.27,Monte Santo do Tocantins,1713700,TO,1096,0.8,0.0,11.2,0.0,0.0,1084.0,0.0,100
 348,-10.24610,-63.37990,S 10 14 45.96,O 63 22 47.64,Monte Negro,1101401,RO,1955,1431.2,14.1,477.3,1.8,0.0,44.7,0.0,100
 349,-10.73529,-48.02248,S 10 44 7.04,O 48 1 20.93,Monte do Carmo,1713601,TO,3635,0.0,0.0,0.3,0.0,0.0,3633.6,1.1,100
 350,-1.02109,-54.28681,S 1 1 15.92,O 54 17 12.52,Monte Alegre,1504802,PA,19516,4253.8,12.9,8902.1,3421.0,0.0,1799.4,1139.7,100
 351,-3.47819,-45.32019,S 3 28 41.48,O 45 19 12.68,Monção,2106904,MA,1362,969.7,0.2,21.2,56.5,0.0,189.0,125.6,100
 352,-2.53518,-49.05922,S 2 32 6.65,O 49 3 33.19,Moju,1504703,PA,9129,4319.6,25.7,4386.8,176.6,0.0,190.4,55.6,100
 353,-2.54950,-49.35737,S 2 32 58.20,O 49 21 26.53,Mocajuba,1504604,PA,872,492.7,0.0,135.1,1.1,0.0,168.2,74.9,100
 354,-2.07065,-44.84480,S 2 4 14.34,O 44 50 41.28,Mirinzal,2106805,MA,696,681.3,0.0,6.2,8.2,0.0,0.0,0.3,100
 355,-15.60276,-58.05495,S 15 36 9.94,O 58 3 17.82,Mirassol d'Oeste,5105622,MT,1077,940.3,0.6,102.9,0.0,0.0,33.8,0.0,100
 356,-11.04481,-62.80644,S 11 2 41.32,O 62 48 23.18,Mirante da Serra,1101302,RO,1205,640.1,2.8,350.6,0.0,0.0,214.3,0.0,100
 357,-9.39541,-48.66686,S 9 23 43.48,O 48 40 0.70,Miranorte,1713304,TO,1036,318.2,0.0,9.3,0.0,0.0,708.5,0.0,100
 358,-3.54992,-44.52695,S 3 32 59.71,O 44 31 37.02,Miranda do Norte,2106755,MA,357,253.9,0.3,57.8,32.3,0.0,12.8,0.2,100
 359,-6.40255,-44.83176,S 6 24 9.18,O 44 49 54.34,Mirador,2106706,MA,8716,0.0,0.0,0,0.0,0.0,8716.3,0.0,100
 360,-9.71454,-48.61508,S 9 42 52.34,O 48 36 54.29,Miracema do Tocantins,1713205,TO,2663,0.0,0.0,0,0.0,0.0,2650.6,13.0,100
 361,-11.15941,-61.58328,S 11 9 33.88,O 61 34 59.81,Ministro Andreazza,1101203,RO,804,712.2,0.3,91.8,0.0,0.0,0.0,0.0,100
 362,-1.53536,-51.06862,S 1 32 7.30,O 51 4 7.03,Melgaço,1504505,PA,6781,160.5,0.3,4351.1,1576.7,0.0,166.3,526.4,100
 363,-3.16475,-53.21731,S 3 9 53.10,O 53 13 2.32,Medicilândia,1504455,PA,8272,2066.5,17.8,4053.9,2150.8,0.0,0.0,0.8,100
 364,-0.04351,-51.97972,S 0 2 36.64,O 51 58 46.99,Mazagão,1600402,AP,13140,121.6,1.9,8045.0,3382.9,0.0,1347.5,243.0,100
 365,-6.02067,-47.56977,S 6 1 14.41,O 47 34 11.17,Maurilândia do Tocantins,1712801,TO,741,144.0,0.1,62.7,0.0,0.0,522.8,11.5,99
 366,-5.24148,-58.19462,S 5 14 29.33,O 58 11 40.63,Maués,1302900,AM,40090,1366.7,9.8,35540.8,1015.3,0.0,872.3,1294.9,100
 367,-9.97964,-54.15149,S 9 58 46.70,O 54 9 5.36,Matupá,5105606,MT,5151,1982.5,15.0,2949.8,0.0,0.0,218.7,0.0,100
 368,-3.74966,-44.45678,S 3 44 58.78,O 44 27 24.41,Matões do Norte,2106631,MA,793,427.3,1.8,356.5,3.8,0.0,4.6,0.8,100
 369,-3.05864,-45.03755,S 3 3 31.10,O 45 2 15.18,Matinha,2106508,MA,414,290.8,0.0,0.7,0.8,0.0,49.2,72.5,99
 370,-10.70172,-46.53856,S 10 42 6.19,O 46 32 18.82,Mateiros,1712702,TO,9665,0.0,0.0,261.7,0.0,0.0,9403.3,0.0,100
 371,-1.39704,-48.32114,S 1 23 49.34,O 48 19 16.10,Marituba,1504422,PA,103,65.9,0.0,26.4,3.5,0.0,0.0,7.2,100
 372,-9.77144,-49.75757,S 9 46 17.18,O 49 45 27.25,Marianópolis do Tocantins,1712504,TO,2096,157.8,8.7,178.4,0.0,0.0,1758.4,1.4,100
 373,-9.09022,-72.49765,S 9 5 24.79,O 72 29 51.54,Marechal Thaumaturgo,1200351,AC,8588,257.1,0.5,7800.1,530.1,0.0,0.2,0.5,100
 374,-10.92424,-54.07501,S 10 55 27.26,O 54 4 30.04,Marcelândia,5105580,MT,12295,3572.6,44.9,8489.0,0.0,0.0,218.8,14.6,100
 375,-0.80045,-47.75464,S 0 48 1.62,O 47 45 16.70,Marapanim,1504406,PA,795,402.3,1.4,226.2,76.0,0.0,41.6,48.9,99
 376,-2.42423,-45.95444,S 2 25 27.23,O 45 57 15.98,Maranhãozinho,2106375,MA,981,767.9,0.0,211.8,1.3,0.0,0.0,0.0,100
 377,-4.72821,-45.55246,S 4 43 41.56,O 45 33 8.86,Marajá do Sena,2106359,MA,881,777.1,0.6,58.6,45.3,0.0,0.0,0.0,100
 378,-0.80608,-47.47954,S 0 48 21.89,O 47 28 46.34,Maracanã,1504307,PA,860,326.4,0.6,269.1,109.9,0.0,33.2,121.4,100
 379,-1.99710,-45.98710,S 1 59 49.56,O 45 59 13.56,Maracaçumé,2106326,MA,635,543.0,0.6,78.2,13.8,0.0,0.0,0.0,99
 380,-5.52503,-49.94418,S 5 31 30.11,O 49 56 39.05,Marabá,1504208,PA,15161,8533.5,46.0,5913.0,592.3,0.0,36.2,86.0,100
 381,-2.61234,-64.70305,S 2 36 44.42,O 64 42 10.98,Maraã,1302801,AM,17221,119.3,0.1,13690.3,960.1,0.0,604.6,1846.7,100
 382,-9.39576,-70.06354,S 9 23 44.74,O 70 3 48.74,Manoel Urbano,1200344,AC,11118,348.3,19.7,10720.2,0.0,0.0,0.0,49.5,100
 383,-6.78709,-61.11001,S 6 47 13.52,O 61 6 36.04,Manicoré,1302702,AM,48689,1824.9,73.4,41824.6,66.2,0.0,4146.5,826.8,100
 384,-7.45141,-73.41241,S 7 27 5.08,O 73 24 44.68,Mâncio Lima,1200336,AC,5762,418.2,2.3,5282.9,15.8,0.0,45.1,0.0,100
 385,-2.57290,-60.37242,S 2 34 22.44,O 60 22 20.71,Manaus,1302603,AM,11473,1258.4,1.8,8619.2,44.6,0.0,3.0,1547.8,100
 386,-3.73889,-60.65552,S 3 44 20.00,O 60 39 19.87,Manaquiri,1302553,AM,4001,498.5,3.1,3109.1,0.0,0.0,106.3,287.1,100
 387,-3.27671,-60.71178,S 3 16 36.16,O 60 42 42.41,Manacapuru,1302504,AM,7381,805.8,7.9,4345.9,0.7,0.0,805.6,1423.0,100
 388,-0.82105,-47.63978,S 0 49 15.78,O 47 38 23.21,Magalhães Barata,1504109,PA,326,162.9,0.3,85.7,47.5,0.0,2.3,27.6,100
 389,-1.98969,-47.50665,S 1 59 22.88,O 47 30 23.94,Mãe do Rio,1504059,PA,471,449.0,0.2,19.6,1.0,0.0,0.0,1.4,99
 390,-9.18980,-61.92599,S 9 11 23.28,O 61 55 33.56,Machadinho D'Oeste,1100130,RO,8590,3176.0,98.3,4970.7,0.0,0.0,385.4,57.9,100
 391,0.58849,-50.96231,N 0 35 18.56,O 50 57 44.32,Macapá,1600303,AP,6419,409.2,3.1,1689.2,249.6,0.0,3119.5,951.5,100
 392,-6.21349,-47.84893,S 6 12 48.56,O 47 50 56.15,Luzinópolis,1712454,TO,281,156.5,0.0,20.6,0.0,0.0,103.9,0.0,100
 393,-1.22159,-45.82058,S 1 13 17.72,O 45 49 14.09,Luís Domingues,2106201,MA,464,310.4,0.4,118.1,9.2,0.0,4.3,22.0,100
 394,-10.97819,-50.93233,S 10 58 41.48,O 50 55 56.39,Luciara,5105309,MT,4152,33.4,0.4,399.2,0.0,0.0,3675.5,43.9,99
 395,-13.04742,-56.18220,S 13 2 50.71,O 56 10 55.92,Lucas do Rio Verde,5105259,MT,3662,543.0,7.0,624.2,0.0,0.0,2494.8,0.0,100
